name	count	latitude	longitude
Detroit	5	42.331427	-83.0457538
London	13	51.5073509	-0.1277583
New York	24	40.7127837	-74.0059413
Paris	8	48.856614	2.3522219
Dallas	9	32.7766642	-96.7969879
Hong Kong	4	22.396428	114.109497
Los Angeles	6	34.0522342	-118.2436849
Mexico City	3	19.4326077	-99.133208
Oklahoma City	2	35.4675602	-97.5164276
Sao Paulo	7	-23.5505199	-46.6333094
Dubai	1	25.2048493	55.2707828
Miami	4	25.7616798	-80.1917902
Brisbane	1	-27.4710107	153.0234489
Venice	11	45.4408474	12.3155151
Chicago	4	41.8781136	-87.6297982
New Delhi	1	28.6139391	77.2090212
Singapore	4	1.352083	103.819836
Cologne	3	50.937531	6.9602786
Asheville	1	35.5950581	-82.5514869
Atlanta	1	33.7489954	-84.3879824
Baltimore	2	39.2903848	-76.6121893
Beirut	2	33.8886289	35.4954794
Berlin	4	52.5200066	13.404954
Boston	1	42.3600825	-71.0588801
Dublin	1	53.3498053	-6.2603097
Frankfurt	1	50.1109221	8.6821267
Liverpool	1	53.4083714	-2.9915726
Milan	3	45.4654219	9.1859243
Minneapolis	1	44.977753	-93.2650108
Philadelphia	2	39.9525839	-75.1652215
Rio de Janeiro	1	-22.9068467	-43.1728965
Zurich	2	47.3768866	8.541694
Houston	1	29.7604267	-95.3698028
Munich	1	48.1351253	11.5819806
Seoul	1	37.566535	126.9779692
Sydney	1	-33.8674869	151.2069902
Barcelona	1	41.3850639	2.1734035
Cleveland	1	41.49932	-81.6943605
Miami Beach	2	25.790654	-80.1300455
Brussels	3	50.8503396	4.3517103
Washington, DC	1	38.9071923	-77.0368707
Basel	3	47.5595986	7.5885761
Madrid	1	40.4167754	-3.7037902
Vancouver	1	49.2827291	-123.1207375
Amsterdam	1	52.3702157	4.8951679
Sharjah	4	25.3223269	55.5136433
Manchester	1	53.4807593	-2.2426305
Moscow	2	55.755826	37.6173
Tehran	1	35.6891975	51.3889736
Tel Aviv	1	32.0852999	34.7817676
Turin	1	45.070312	7.6868565
Shanghai	1	31.230416	121.473701
