name	count	latitude	longitude
Aspen	4	39.1910983	-106.8175387
Chicago	6	41.8781136	-87.6297982
New York	12	40.7127837	-74.0059413
Paris	5	48.856614	2.3522219
Bristol	3	51.454513	-2.58791
Edinburgh	3	55.953252	-3.188267
Hong Kong	6	22.396428	114.109497
Istanbul	4	41.0082376	28.9783589
London	6	51.5073509	-0.1277583
Philadelphia	2	39.9525839	-75.1652215
Antwerp	3	51.2194475	4.4024643
Auckland	1	-36.8484597	174.7633315
Baltimore	1	39.2903848	-76.6121893
Basel	4	47.5595986	7.5885761
Berlin	3	52.5200066	13.404954
Cologne	3	50.937531	6.9602786
Dakar	1	14.7645042	-17.3660286
Detroit	3	42.331427	-83.0457538
Dubai	3	25.2048493	55.2707828
Dublin	2	53.3498053	-6.2603097
Lagos	1	6.5243793	3.3792057
Los Angeles	5	34.0522342	-118.2436849
Miami	4	25.7616798	-80.1917902
Miami Beach	3	25.790654	-80.1300455
Milan	2	45.4654219	9.1859243
Munich	1	48.1351253	11.5819806
San Francisco	3	37.7749295	-122.4194155
Santa Monica	2	34.0194543	-118.4911912
Sao Paulo	3	-23.5505199	-46.6333094
Seattle	1	47.6062095	-122.3320708
Sydney	1	-33.8674869	151.2069902
Tokyo	2	35.6894875	139.6917064
Venice	3	45.4408474	12.3155151
Vienna	2	48.2081743	16.3738189
Zurich	2	47.3768866	8.541694
Amsterdam	2	52.3702157	4.8951679
Athens	1	37.983917	23.7293599
Barcelona	1	41.3850639	2.1734035
Beijing	2	39.904211	116.407395
Bergamo	1	45.6982642	9.6772698
Brussels	2	50.8503396	4.3517103
Budapest	1	47.497912	19.040235
Copenhagen	2	55.6760968	12.5683371
Cork	1	51.8968917	-8.4863157
Dallas	1	32.7766642	-96.7969879
Denver	1	39.7392358	-104.990251
Frankfurt	2	50.1109221	8.6821267
Houston	2	29.7604267	-95.3698028
Kansas City	1	39.0997265	-94.5785667
Liverpool	1	53.4083714	-2.9915726
Madrid	3	40.4167754	-3.7037902
Marfa	1	30.3094622	-104.020623
Mexico City	1	19.4326077	-99.133208
Montreal	1	45.5016889	-73.567256
Pasadena	1	34.1477849	-118.1445155
Rome	1	41.9027835	12.4963655
Singapore	2	1.352083	103.819836
Southampton	1	40.884267	-72.3895296
Toronto	1	43.653226	-79.3831843
Vancouver	2	49.2827291	-123.1207375
Washington, DC	2	38.9071923	-77.0368707
Adelaide	1	-34.9286212	138.5999594
Boston	1	42.3600825	-71.0588801
DŸsseldorf	1	51.2277411	6.7734556
Florence	2	43.7695604	11.2558136
Oklahoma City	1	35.4675602	-97.5164276
Rio de Janeiro	1	-22.9068467	-43.1728965
Otegem	1	50.8081889	3.4239803
San Antonio	1	29.4241219	-98.4936282
Karlsruhe	1	49.0068901	8.4036527
Columbus	1	39.9611755	-82.9987942
North Adams	1	42.700915	-73.1087148
Moscow	3	55.755826	37.6173
Salzburg	1	47.80949	13.05501
San Juan	1	18.4663338	-66.1057217
Shanghai	4	31.230416	121.473701
Sharjah	2	25.3223269	55.5136433
Tel Aviv	2	32.0852999	34.7817676
New Orleans	2	29.9510658	-90.0715323
Santa Fe	2	35.6869752	-105.937799
Taipei	3	25.0329694	121.5654177
Tampa	1	27.950575	-82.4571776
Yokohama	1	35.4437078	139.6380256
Brighton	1	50.82253	-0.137163
Lisbon	1	38.7222524	-9.1393366
Palm Springs	1	33.8302961	-116.5452921
