name	count	latitude	longitude
London	17	51.5073509	-0.1277583
Miami	14	25.7616798	-80.1917902
Miami Beach	17	25.790654	-80.1300455
New York	22	40.7127837	-74.0059413
Paris	7	48.856614	2.3522219
Frankfurt	3	50.1109221	8.6821267
Milan	2	45.4654219	9.1859243
Berlin	6	52.5200066	13.404954
Brussels	2	50.8503396	4.3517103
Los Angeles	5	34.0522342	-118.2436849
Southampton	1	40.884267	-72.3895296
Zurich	4	47.3768866	8.541694
Basel	1	47.5595986	7.5885761
Boston	6	42.3600825	-71.0588801
Vancouver	1	49.2827291	-123.1207375
Philadelphia	3	39.9525839	-75.1652215
Bilbao	2	43.2630126	-2.9349852
Sao Paulo	4	-23.5505199	-46.6333094
Venice	5	45.4408474	12.3155151
Hong Kong	2	22.396428	114.109497
Singapore	1	1.352083	103.819836
Madrid	1	40.4167754	-3.7037902
Rome	2	41.9027835	12.4963655
Chicago	4	41.8781136	-87.6297982
San Francisco	2	37.7749295	-122.4194155
Beijing	1	39.904211	116.407395
Amsterdam	1	52.3702157	4.8951679
Cologne	1	50.937531	6.9602786
DŸsseldorf	1	51.2277411	6.7734556
Munich	1	48.1351253	11.5819806
Vienna	2	48.2081743	16.3738189
Cleveland	1	41.49932	-81.6943605
Berkeley	2	37.8715926	-122.272747
Dubai	2	25.2048493	55.2707828
Indianapolis	1	39.768403	-86.158068
San Antonio	1	29.4241219	-98.4936282
Detroit	2	42.331427	-83.0457538
St. Louis	1	38.6270025	-90.1994042
Aspen	2	39.1910983	-106.8175387
Liverpool	1	53.4083714	-2.9915726
Auckland	1	-36.8484597	174.7633315
Metz	1	49.1193089	6.1757156
Grand Rapids	1	42.9633599	-85.6680863
Jacksonville	1	30.3321838	-81.655651
Oxford	1	51.7520209	-1.2577263
Yokohama	2	35.4437078	139.6380256
Shanghai	3	31.230416	121.473701
Moscow	1	55.755826	37.6173
Tel Aviv	2	32.0852999	34.7817676
Hastings	1	44.7443293	-92.8513706
