name	count	latitude	longitude
Detroit	1	42.331427	-83.0457538
London	17	51.5073509	-0.1277583
New York	26	40.7127837	-74.0059413
Vancouver	2	49.2827291	-123.1207375
Los Angeles	8	34.0522342	-118.2436849
Marfa	2	30.3094622	-104.020623
Philadelphia	2	39.9525839	-75.1652215
Venice	6	45.4408474	12.3155151
Malaga	1	36.721261	-4.4212655
Mexico City	2	19.4326077	-99.133208
Miami	6	25.7616798	-80.1917902
Birmingham	1	52.486243	-1.890401
Boston	1	42.3600825	-71.0588801
Cologne	4	50.937531	6.9602786
Munich	1	48.1351253	11.5819806
Sao Paulo	2	-23.5505199	-46.6333094
Vienna	3	48.2081743	16.3738189
Paris	5	48.856614	2.3522219
Rotterdam	3	51.9244201	4.4777325
Austin	2	30.267153	-97.7430608
Houston	1	29.7604267	-95.3698028
Montreal	1	45.5016889	-73.567256
Moscow	1	55.755826	37.6173
Sharjah	2	25.3223269	55.5136433
Tampa	1	27.950575	-82.4571776
Tehran	1	35.6891975	51.3889736
Amsterdam	2	52.3702157	4.8951679
Columbus	1	39.9611755	-82.9987942
Frankfurt	2	50.1109221	8.6821267
Dallas	5	32.7766642	-96.7969879
Toledo	1	41.6639383	-83.555212
Istanbul	1	41.0082376	28.9783589
Dubai	3	25.2048493	55.2707828
Berlin	4	52.5200066	13.404954
Chicago	6	41.8781136	-87.6297982
Cleveland	2	41.49932	-81.6943605
Miami Beach	3	25.790654	-80.1300455
Hong Kong	4	22.396428	114.109497
Madrid	4	40.4167754	-3.7037902
Manchester	1	53.4807593	-2.2426305
Oklahoma City	1	35.4675602	-97.5164276
Bucharest	1	44.4267674	26.1025384
Zurich	1	47.3768866	8.541694
Singapore	2	1.352083	103.819836
Milan	2	45.4654219	9.1859243
Bonn	1	50.73743	7.0982068
Long Beach	1	33.7700504	-118.1937395
Malmš	1	55.604981	13.003822
Seattle	1	47.6062095	-122.3320708
Berkeley	1	37.8715926	-122.272747
Barcelona	1	41.3850639	2.1734035
Jeddah	1	21.2854067	39.2375507
Basel	1	47.5595986	7.5885761
Beijing	2	39.904211	116.407395
Guangzhou	1	23.12911	113.264385
New Delhi	1	28.6139391	77.2090212
Shanghai	1	31.230416	121.473701
Taipei	1	25.0329694	121.5654177
Tokyo	1	35.6894875	139.6917064
Baltimore	1	39.2903848	-76.6121893
Bilbao	1	43.2630126	-2.9349852
