name	count	latitude	longitude
Amsterdam	2	52.3702157	4.8951679
Asheville	1	35.5950581	-82.5514869
Atlanta	1	33.7489954	-84.3879824
Austin	1	30.267153	-97.7430608
Basel	1	47.5595986	7.5885761
Beijing	2	39.904211	116.407395
Bergen	1	60.3912628	5.3220544
Berlin	7	52.5200066	13.404954
Birmingham	1	52.486243	-1.890401
Bologna	1	44.494887	11.3426163
Bristol	1	51.454513	-2.58791
Brussels	4	50.8503396	4.3517103
Chicago	8	41.8781136	-87.6297982
Cologne	1	50.937531	6.9602786
Columbus	4	39.9611755	-82.9987942
Cumbria	1	54.5772323	-2.7974835
Detroit	2	42.331427	-83.0457538
Dubai	3	25.2048493	55.2707828
DŸsseldorf	2	51.2277411	6.7734556
Frankfurt	2	50.1109221	8.6821267
Hobart	1	-42.881903	147.323814
Hong Kong	8	22.396428	114.109497
Houston	2	29.7604267	-95.3698028
Indianapolis	1	39.768403	-86.158068
London	19	51.5073509	-0.1277583
Los Angeles	8	34.0522342	-118.2436849
Madrid	2	40.4167754	-3.7037902
Malaga	2	36.721261	-4.4212655
Metz	1	49.1193089	6.1757156
Mexico City	2	19.4326077	-99.133208
Miami	3	25.7616798	-80.1917902
Miami Beach	3	25.790654	-80.1300455
Milan	2	45.4654219	9.1859243
Milwaukee	1	43.0389025	-87.9064736
Minneapolis	1	44.977753	-93.2650108
Montreal	1	45.5016889	-73.567256
Moscow	1	55.755826	37.6173
Naples	1	40.8517746	14.2681244
New Orleans	3	29.9510658	-90.0715323
New York	29	40.7127837	-74.0059413
Palm Beach	1	26.7056206	-80.0364297
Palma de Mallorca	1	39.5696005	2.6501603
Paris	9	48.856614	2.3522219
Pasadena	1	34.1477849	-118.1445155
Philadelphia	2	39.9525839	-75.1652215
Rio de Janeiro	2	-22.9068467	-43.1728965
Rome	1	41.9027835	12.4963655
Rotterdam	2	51.9244201	4.4777325
San Antonio	1	29.4241219	-98.4936282
San Francisco	2	37.7749295	-122.4194155
Santa Fe	1	35.6869752	-105.937799
Santa Monica	1	34.0194543	-118.4911912
Sao Paulo	5	-23.5505199	-46.6333094
Seattle	3	47.6062095	-122.3320708
Shanghai	1	31.230416	121.473701
Sharjah	1	25.3223269	55.5136433
Singapore	8	1.352083	103.819836
St. Louis	1	38.6270025	-90.1994042
Sydney	1	-33.8674869	151.2069902
Taipei	2	25.0329694	121.5654177
Tel Aviv	1	32.0852999	34.7817676
Toronto	2	43.653226	-79.3831843
Vancouver	3	49.2827291	-123.1207375
Venice	9	45.4408474	12.3155151
Vienna	3	48.2081743	16.3738189
Zurich	3	47.3768866	8.541694
