name	count	latitude	longitude
London	13	51.5073509	-0.1277583
Miami	4	25.7616798	-80.1917902
Miami Beach	3	25.790654	-80.1300455
New York	16	40.7127837	-74.0059413
Paris	9	48.856614	2.3522219
Philadelphia	3	39.9525839	-75.1652215
Santa Monica	1	34.0194543	-118.4911912
Beijing	5	39.904211	116.407395
Berlin	8	52.5200066	13.404954
Boston	7	42.3600825	-71.0588801
Cleveland	1	41.49932	-81.6943605
Los Angeles	9	34.0522342	-118.2436849
Pasadena	1	34.1477849	-118.1445155
Sao Paulo	5	-23.5505199	-46.6333094
Bilbao	2	43.2630126	-2.9349852
Dallas	2	32.7766642	-96.7969879
Gwangju	3	36.3095456	120.0079397
San Francisco	2	37.7749295	-122.4194155
Tokyo	2	35.6894875	139.6917064
Vienna	2	48.2081743	16.3738189
Istanbul	1	41.0082376	28.9783589
Rome	3	41.9027835	12.4963655
Basel	4	47.5595986	7.5885761
Madrid	1	40.4167754	-3.7037902
Zurich	2	47.3768866	8.541694
Bologna	1	44.494887	11.3426163
Milan	2	45.4654219	9.1859243
Seattle	1	47.6062095	-122.3320708
Southampton	4	40.884267	-72.3895296
Venice	4	45.4408474	12.3155151
Karlsruhe	1	49.0068901	8.4036527
Washington, DC	1	38.9071923	-77.0368707
Bonn	1	50.73743	7.0982068
Bordeaux	1	44.837789	-0.57918
Chicago	3	41.8781136	-87.6297982
Frankfurt	4	50.1109221	8.6821267
Sydney	2	-33.8674869	151.2069902
Vancouver	1	49.2827291	-123.1207375
Amsterdam	3	52.3702157	4.8951679
Athens	1	37.983917	23.7293599
Buenos Aires	1	-34.6036844	-58.3815591
Indianapolis	1	39.768403	-86.158068
Kassel	2	51.3127114	9.4797461
Munich	2	48.1351253	11.5819806
Rotterdam	1	51.9244201	4.4777325
Toronto	1	43.653226	-79.3831843
Naples	1	40.8517746	14.2681244
Edinburgh	2	55.953252	-3.188267
Glasgow	1	55.864237	-4.251806
Hong Kong	1	22.396428	114.109497
Long Beach	1	33.7700504	-118.1937395
Singapore	1	1.352083	103.819836
Austin	1	30.267153	-97.7430608
Avignon	2	43.949317	4.805528
Stockholm	1	59.3293235	18.0685808
Manchester	3	53.4807593	-2.2426305
Portland	1	45.5230622	-122.6764816
Milwaukee	1	43.0389025	-87.9064736
Kiev	1	50.4501	30.5234
Moscow	2	55.755826	37.6173
Lisbon	2	38.7222524	-9.1393366
Turin	2	45.070312	7.6868565
Santa Barbara	1	34.4208305	-119.6981901
Sharjah	1	25.3223269	55.5136433
Tel Aviv	1	32.0852999	34.7817676
Santa Fe	1	35.6869752	-105.937799
