name	count	latitude	longitude
London	17	51.5073509	-0.1277583
Miami	2	25.7616798	-80.1917902
Miami Beach	2	25.790654	-80.1300455
New York	21	40.7127837	-74.0059413
Sao Paulo	3	-23.5505199	-46.6333094
Auckland	1	-36.8484597	174.7633315
Basel	19	47.5595986	7.5885761
Berlin	8	52.5200066	13.404954
Chicago	6	41.8781136	-87.6297982
Los Angeles	10	34.0522342	-118.2436849
San Francisco	2	37.7749295	-122.4194155
Paris	9	48.856614	2.3522219
Zurich	4	47.3768866	8.541694
Amsterdam	1	52.3702157	4.8951679
Baku	2	40.4092617	49.8670924
Bangkok	1	13.7563309	100.5017651
Beijing	4	39.904211	116.407395
Cologne	2	50.937531	6.9602786
Pittsburgh	1	40.4406248	-79.9958864
Venice	4	45.4408474	12.3155151
Munich	2	48.1351253	11.5819806
Marfa	1	30.3094622	-104.020623
Birmingham	1	52.486243	-1.890401
Vienna	3	48.2081743	16.3738189
Hong Kong	3	22.396428	114.109497
Istanbul	1	41.0082376	28.9783589
Singapore	2	1.352083	103.819836
Sydney	2	-33.8674869	151.2069902
Dallas	1	32.7766642	-96.7969879
Graz	1	47.070714	15.439504
Buenos Aires	2	-34.6036844	-58.3815591
Edinburgh	1	55.953252	-3.188267
Philadelphia	2	39.9525839	-75.1652215
Stanford	1	37.424106	-122.1660756
Bristol	1	51.454513	-2.58791
Dubai	2	25.2048493	55.2707828
Bucharest	1	44.4267674	26.1025384
Sheffield	1	53.381129	-1.470085
Copenhagen	1	55.6760968	12.5683371
Beacon	1	41.5048158	-73.9695832
Karlsruhe	1	49.0068901	8.4036527
Valencia	1	39.4699075	-0.3762881
Athens	1	37.983917	23.7293599
Montreal	1	45.5016889	-73.567256
Barcelona	1	41.3850639	2.1734035
Bergen	1	60.3912628	5.3220544
Sharjah	3	25.3223269	55.5136433
Trondheim	1	63.4305149	10.3950528
Moscow	6	55.755826	37.6173
New Orleans	1	29.9510658	-90.0715323
Oxford	2	51.7520209	-1.2577263
Milwaukee	2	43.0389025	-87.9064736
