name	count	latitude	longitude
Baltimore	1	39.2903848	-76.6121893
Bilbao	1	43.2630126	-2.9349852
Brussels	3	50.8503396	4.3517103
Dallas	3	32.7766642	-96.7969879
Detroit	7	42.331427	-83.0457538
Dubai	8	25.2048493	55.2707828
Frankfurt	4	50.1109221	8.6821267
Hong Kong	19	22.396428	114.109497
London	13	51.5073509	-0.1277583
Los Angeles	6	34.0522342	-118.2436849
Malaga	2	36.721261	-4.4212655
Marfa	1	30.3094622	-104.020623
New York	23	40.7127837	-74.0059413
San Francisco	3	37.7749295	-122.4194155
Seoul	1	37.566535	126.9779692
Auckland	1	-36.8484597	174.7633315
Berlin	5	52.5200066	13.404954
Madrid	2	40.4167754	-3.7037902
Miami	4	25.7616798	-80.1917902
Miami Beach	2	25.790654	-80.1300455
Sacramento	1	38.5815719	-121.4943996
Venice	13	45.4408474	12.3155151
Zurich	5	47.3768866	8.541694
Bangkok	1	13.7563309	100.5017651
Basel	4	47.5595986	7.5885761
Beijing	1	39.904211	116.407395
Chicago	4	41.8781136	-87.6297982
Gwangju	1	36.3095456	120.0079397
Milan	2	45.4654219	9.1859243
Paris	9	48.856614	2.3522219
Sao Paulo	4	-23.5505199	-46.6333094
Tokyo	3	35.6894875	139.6917064
Seattle	1	47.6062095	-122.3320708
Sydney	1	-33.8674869	151.2069902
Cleveland	1	41.49932	-81.6943605
Singapore	5	1.352083	103.819836
Amsterdam	1	52.3702157	4.8951679
Guangzhou	1	23.12911	113.264385
Montreal	1	45.5016889	-73.567256
Austin	1	30.267153	-97.7430608
Metz	2	49.1193089	6.1757156
Washington, DC	1	38.9071923	-77.0368707
Birmingham	1	52.486243	-1.890401
Barcelona	1	41.3850639	2.1734035
Long Beach	1	33.7700504	-118.1937395
Vancouver	1	49.2827291	-123.1207375
Vienna	1	48.2081743	16.3738189
Baku	1	40.4092617	49.8670924
Moscow	4	55.755826	37.6173
Tehran	4	35.6891975	51.3889736
Santa Fe	2	35.6869752	-105.937799
Mannheim	1	49.4889	8.4692
Sharjah	7	25.3223269	55.5136433
Manchester	1	53.4807593	-2.2426305
Shanghai	1	31.230416	121.473701
Tel Aviv	1	32.0852999	34.7817676
The Hague	2	52.0704978	4.3006999
