name	count	latitude	longitude
Berlin	9	52.5200066	13.404954
New York	21	40.7127837	-74.0059413
Philadelphia	3	39.9525839	-75.1652215
Venice	18	45.4408474	12.3155151
Washington, DC	1	38.9071923	-77.0368707
London	18	51.5073509	-0.1277583
Basel	5	47.5595986	7.5885761
Brussels	1	50.8503396	4.3517103
Chicago	5	41.8781136	-87.6297982
Dubai	2	25.2048493	55.2707828
Hong Kong	6	22.396428	114.109497
Los Angeles	8	34.0522342	-118.2436849
Milan	5	45.4654219	9.1859243
Paris	8	48.856614	2.3522219
Vienna	2	48.2081743	16.3738189
Austin	2	30.267153	-97.7430608
Beijing	2	39.904211	116.407395
Miami	3	25.7616798	-80.1917902
Singapore	1	1.352083	103.819836
Bangkok	2	13.7563309	100.5017651
Dallas	4	32.7766642	-96.7969879
Houston	1	29.7604267	-95.3698028
Sao Paulo	3	-23.5505199	-46.6333094
Stuttgart	1	48.7758459	9.1829321
Auckland	2	-36.8484597	174.7633315
Miami Beach	1	25.790654	-80.1300455
Amsterdam	1	52.3702157	4.8951679
Detroit	3	42.331427	-83.0457538
Seattle	1	47.6062095	-122.3320708
Sydney	1	-33.8674869	151.2069902
Istanbul	2	41.0082376	28.9783589
San Diego	1	32.715738	-117.1610838
San Francisco	2	37.7749295	-122.4194155
Metz	1	49.1193089	6.1757156
Munich	1	48.1351253	11.5819806
Mexico City	1	19.4326077	-99.133208
Budapest	1	47.497912	19.040235
Sheffield	1	53.381129	-1.470085
Antwerp	1	51.2194475	4.4024643
Sharjah	3	25.3223269	55.5136433
Hastings	1	44.7443293	-92.8513706
Portland	1	45.5230622	-122.6764816
New Orleans	1	29.9510658	-90.0715323
Moscow	3	55.755826	37.6173
Shanghai	1	31.230416	121.473701
Scottsdale	1	33.4941704	-111.9260519
Turin	1	45.070312	7.6868565
Munich	1	48.1351253	11.5819806
Manchester	1	53.4807593	-2.2426305
Oberlin	1	41.2939386	-82.2173786
