name	count	latitude	longitude
Berlin	7	52.5200066	13.404954
Chicago	3	41.8781136	-87.6297982
Columbus	1	39.9611755	-82.9987942
Denver	1	39.7392358	-104.990251
New York	20	40.7127837	-74.0059413
Zurich	6	47.3768866	8.541694
Amsterdam	3	52.3702157	4.8951679
Dallas	2	32.7766642	-96.7969879
Paris	7	48.856614	2.3522219
Beijing	4	39.904211	116.407395
Hong Kong	2	22.396428	114.109497
London	13	51.5073509	-0.1277583
Los Angeles	8	34.0522342	-118.2436849
Sao Paulo	2	-23.5505199	-46.6333094
Seoul	1	37.566535	126.9779692
Singapore	4	1.352083	103.819836
Sydney	2	-33.8674869	151.2069902
Tokyo	2	35.6894875	139.6917064
Detroit	3	42.331427	-83.0457538
Seattle	5	47.6062095	-122.3320708
Liverpool	2	53.4083714	-2.9915726
Miami	8	25.7616798	-80.1917902
DŸsseldorf	1	51.2277411	6.7734556
Frankfurt	1	50.1109221	8.6821267
Gwangju	1	36.3095456	120.0079397
Basel	1	47.5595986	7.5885761
Vienna	1	48.2081743	16.3738189
Baku	2	40.4092617	49.8670924
Budapest	1	47.497912	19.040235
Istanbul	3	41.0082376	28.9783589
St. Louis	1	38.6270025	-90.1994042
Venice	3	45.4408474	12.3155151
Dublin	1	53.3498053	-6.2603097
Malaga	1	36.721261	-4.4212655
Miami Beach	8	25.790654	-80.1300455
Atlanta	1	33.7489954	-84.3879824
Montreal	1	45.5016889	-73.567256
San Francisco	1	37.7749295	-122.4194155
Washington, DC	1	38.9071923	-77.0368707
Metz	1	49.1193089	6.1757156
Milan	1	45.4654219	9.1859243
Bucharest	1	44.4267674	26.1025384
Brussels	1	50.8503396	4.3517103
Philadelphia	1	39.9525839	-75.1652215
Dubai	1	25.2048493	55.2707828
Shanghai	2	31.230416	121.473701
Sharjah	1	25.3223269	55.5136433
Taipei	2	25.0329694	121.5654177
Turin	4	45.070312	7.6868565
Portland	2	45.5230622	-122.6764816
Manchester	1	53.4807593	-2.2426305
Hastings	1	44.7443293	-92.8513706
Yokohama	1	35.4437078	139.6380256
Palm Springs	1	33.8302961	-116.5452921
New Orleans	1	29.9510658	-90.0715323
Moscow	1	55.755826	37.6173
Hobart	1	-42.881903	147.323814
