name	count	latitude	longitude
Berlin	4	52.5200066	13.404954
Grand Rapids	2	42.9633599	-85.6680863
Hong Kong	5	22.396428	114.109497
London	22	51.5073509	-0.1277583
New York	20	40.7127837	-74.0059413
Chicago	9	41.8781136	-87.6297982
Dubai	1	25.2048493	55.2707828
Istanbul	3	41.0082376	28.9783589
Paris	15	48.856614	2.3522219
Houston	1	29.7604267	-95.3698028
Liverpool	4	53.4083714	-2.9915726
Baku	1	40.4092617	49.8670924
Lagos	2	6.5243793	3.3792057
Metz	1	49.1193089	6.1757156
Sao Paulo	3	-23.5505199	-46.6333094
Sydney	3	-33.8674869	151.2069902
Toronto	1	43.653226	-79.3831843
Vancouver	2	49.2827291	-123.1207375
Venice	5	45.4408474	12.3155151
Zurich	3	47.3768866	8.541694
Amsterdam	2	52.3702157	4.8951679
Aspen	1	39.1910983	-106.8175387
Los Angeles	4	34.0522342	-118.2436849
Philadelphia	2	39.9525839	-75.1652215
Brussels	2	50.8503396	4.3517103
Miami Beach	5	25.790654	-80.1300455
San Francisco	1	37.7749295	-122.4194155
Marfa	1	30.3094622	-104.020623
Basel	1	47.5595986	7.5885761
Bordeaux	1	44.837789	-0.57918
Buenos Aires	1	-34.6036844	-58.3815591
Copenhagen	1	55.6760968	12.5683371
Frankfurt	1	50.1109221	8.6821267
Indianapolis	1	39.768403	-86.158068
Miami	3	25.7616798	-80.1917902
Montreal	1	45.5016889	-73.567256
Singapore	5	1.352083	103.819836
Tokyo	6	35.6894875	139.6917064
Vienna	1	48.2081743	16.3738189
Beijing	2	39.904211	116.407395
Washington, DC	1	38.9071923	-77.0368707
Cleveland	2	41.49932	-81.6943605
Berkeley	1	37.8715926	-122.272747
Seoul	1	37.566535	126.9779692
Moscow	4	55.755826	37.6173
Santa Fe	1	35.6869752	-105.937799
Tehran	2	35.6891975	51.3889736
Taipei	2	25.0329694	121.5654177
Raleigh	1	35.7795897	-78.6381787
Shanghai	1	31.230416	121.473701
