name,latitude,longitude,nov,dec,jan,feb,mar,apr,may,jun,jul,aug,sep,oct
Adelaide,-34.9286212,138.5999594,0,0,0,0,0,0,0,0,0,1,1,0
Al Quoz,25.1347894,55.2369693,0,0,0,0,0,0,0,0,0,0,0,0
Altkirch,47.620391,7.243036,0,0,0,0,0,0,0,0,0,0,0,0
Amstelveen,52.3114207,4.870087,0,0,0,0,0,0,0,0,0,0,0,0
Amsterdam,52.3702157,4.8951679,3,1,2,2,1,1,1,1,3,2,2,2
Annandale-on-Hudson,42.0218762,-73.9095279,0,0,0,0,0,0,0,0,0,0,0,0
Antwerp,51.2194475,4.4024643,0,0,0,0,0,0,1,0,0,3,1,0
Asheville,35.5950581,-82.5514869,0,0,1,0,0,1,0,0,0,0,0,0
Aspen,39.1910983,-106.8175387,0,2,0,0,0,0,0,0,0,4,1,1
Athens,37.983917,23.7293599,0,0,0,0,0,0,0,1,1,1,0,0
Atlanta,33.7489954,-84.3879824,1,0,1,0,0,1,0,0,0,0,0,0
Auckland,-36.8484597,174.7633315,0,1,0,0,1,0,2,1,0,1,1,0
Austin,30.267153,-97.7430608,0,0,1,2,1,0,2,0,1,0,1,0
Avignon,43.949317,4.805528,0,0,0,0,0,0,0,0,2,0,0,0
Avrupa,41.0182092,28.6275939,0,0,0,0,0,0,0,0,0,0,0,0
Baku,40.4092617,49.8670924,2,0,0,0,1,0,0,2,0,0,0,1
Baltimore,39.2903848,-76.6121893,0,0,0,1,1,2,0,0,0,1,0,0
Bangkok,13.7563309,100.5017651,0,0,0,0,1,0,2,1,0,0,1,0
Barcelona,41.3850639,2.1734035,0,0,0,1,1,1,0,1,0,1,1,0
Barranco,-12.1437266,-77.0190228,0,0,0,0,0,0,0,0,0,0,0,0
Basel,47.5595986,7.5885761,1,1,1,1,4,3,5,19,4,4,2,1
Beacon,41.5048158,-73.9695832,0,0,0,0,0,0,0,1,0,0,0,0
Beijing,39.904211,116.407395,4,1,2,2,1,0,2,4,5,2,5,2
Beirut,33.8886289,35.4954794,0,0,0,0,0,2,0,0,0,0,0,0
Bergamo,45.6982642,9.6772698,0,0,0,0,0,0,0,0,0,1,0,0
Bergen,60.3912628,5.3220544,0,0,1,0,0,0,0,1,0,0,0,0
Berkeley,37.8715926,-122.272747,0,2,0,1,0,0,0,0,0,0,0,1
Berlin,52.5200066,13.404954,7,6,7,4,5,4,9,8,8,3,10,4
Berriedale,-42.8160361,147.2504829,0,0,0,0,0,0,0,0,0,0,0,0
Bilbao,43.2630126,-2.9349852,0,2,0,1,1,0,0,0,2,0,0,0
Birmingham,52.486243,-1.890401,0,0,1,1,1,0,0,1,0,0,0,0
Bogota,4.7109886,-74.072092,0,0,0,0,0,0,0,0,0,0,1,0
Bologna,44.494887,11.3426163,0,0,1,0,0,0,0,0,1,0,1,0
Bonn,50.73743,7.0982068,0,0,0,1,0,0,0,0,1,0,0,0
Bordeaux,44.837789,-0.57918,0,0,0,0,0,0,0,0,1,0,1,1
Boston,42.3600825,-71.0588801,0,6,0,1,0,1,0,0,7,1,0,0
